Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,"Tom Phipps, Nicola Boniface",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Samuel Albrecht, Isabel Swan",,Nacra 17,12,G,9,,170,136,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Olivia Mackay, Micah Wilkinson",,Nacra 17,17,G,23,,247,213,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Francesco Porro, Laura Marimon Giovannetti",,Nacra 17,14,G,19,,232,198,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Billy Besson, Marie Riou",,Nacra 17,10,G,6,,132,107,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Jason Saunders, Gemma Jones",,Nacra 17,20,G,11,,155,121,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Jason Waterhouse, Lisa Darmanin",,Nacra 17,15,G,5,,114,93,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Matías Bühler, Nathalie Brugger",,Nacra 17,13,G,14,,159,137,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Nikola Girke, Luke Ramsay",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Fernando Echávarri Erasun, Tara Pacheco van Rijnsoever",,Nacra 17,17,G,1,,111,77,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Anette Viborg, Allan Norregaard",,Nacra 17,9,G,12,,160,126,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Blandine Medecin Rodelato, Jean Rodelato",,Nacra 17,28,G,30,,342,308,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Tom Phipps, Nicola Boniface",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Justin Liu, Denise Lim",,Nacra 17,8,G,22,,246,212,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Louisa Chafee, Bora Gulari",,Nacra 17,16,G,15,,191,157,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Silvia Sicouri, Vittorio Bissaro",,Nacra 17,6,G,2,,94,77,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Manon Audinet, MOANA VAIREAUX",,Nacra 17,11,G,7,,142,119,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Thomas Zajac, Tanja Frank",,Nacra 17,7,G,10,,163,140,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Ida Svensson, Rasmus Rosengren",,Nacra 17,34,G,20,,235,201,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Olivia Mackay, Micah Wilkinson",,Nacra 17,34,G,23,,247,213,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Pablo Defazio Abella, Mariana Foglia Costa",,Nacra 17,18,G,17,,225,191,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Santiago Raul Lange, Cecilia Carranza Saroli",,Nacra 17,21,G,8,,166,132,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Marie Tiffon Terrade, Thomas Tiffon-Terrade",,Nacra 17,27,G,29,,325,291,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Caterina Banti, Lorenzo Bressani",,Nacra 17,2,G,26,,262,228,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Bianca Guardigli, Ferdinando Trambaiolo",,Nacra 17,12,G,28,,301,267,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Lea Spitzmann, Jan Hauke Erichsen",,Nacra 17,26,G,13,,157,131,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Michalis Pateniotis, Sofia Bekatorou",,Nacra 17,22,G,27,,274,240,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Rupert White, Kirstie Urwin",,Nacra 17,24,G,24,,244,216,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Nicholas Fadler Martinsen, Martine Steller Mortensen",,Nacra 17,19,G,21,,235,201,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Mandy Mulder, Coen de Koning",,Nacra 17,1,G,3,,107,87,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Samuel Albrecht, Isabel Swan",,Nacra 17,5,G,9,,170,136,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Nicole van der Velden, Thijs Visser",,Nacra 17,23,G,25,,261,227,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Carolina Werner, Paul Kohlhoff",,Nacra 17,25,G,18,,227,193,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Lena Wehrheim, Stefan Rumpf",,Nacra 17,29,G,31,,354,320,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Maria Giubilei, Gianluigi Ugolini",,Nacra 17,4,G,16,,200,166,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Ben Saxton, Nicola Groves",,Nacra 17,3,G,4,,105,87,Semaine Olympique Francaise De Voile 2016,Race 08,0
,,"Manon Audinet, MOANA VAIREAUX",,Nacra 17,11,G,7,,142,119,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Jason Saunders, Gemma Jones",,Nacra 17,7,G,11,,155,121,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Ben Saxton, Nicola Groves",,Nacra 17,6,G,4,,105,87,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Maria Giubilei, Gianluigi Ugolini",,Nacra 17,15,G,16,,200,166,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Carolina Werner, Paul Kohlhoff",,Nacra 17,2,G,18,,227,193,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Samuel Albrecht, Isabel Swan",,Nacra 17,12,G,9,,170,136,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Santiago Raul Lange, Cecilia Carranza Saroli",,Nacra 17,9,G,8,,166,132,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Lena Wehrheim, Stefan Rumpf",,Nacra 17,34,G,31,,354,320,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Thomas Zajac, Tanja Frank",,Nacra 17,1,G,10,,163,140,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Matías Bühler, Nathalie Brugger",,Nacra 17,18,G,14,,159,137,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Mandy Mulder, Coen de Koning",,Nacra 17,13,G,3,,107,87,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Caterina Banti, Lorenzo Bressani",,Nacra 17,34,G,26,,262,228,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Olivia Mackay, Micah Wilkinson",,Nacra 17,14,G,23,,247,213,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Michalis Pateniotis, Sofia Bekatorou",,Nacra 17,24,G,27,,274,240,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Rupert White, Kirstie Urwin",,Nacra 17,22,G,24,,244,216,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Anette Viborg, Allan Norregaard",,Nacra 17,20,G,12,,160,126,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Marie Tiffon Terrade, Thomas Tiffon-Terrade",,Nacra 17,27,G,29,,325,291,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Jason Waterhouse, Lisa Darmanin",,Nacra 17,16,G,5,,114,93,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Justin Liu, Denise Lim",,Nacra 17,25,G,22,,246,212,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Francesco Porro, Laura Marimon Giovannetti",,Nacra 17,8,G,19,,232,198,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Silvia Sicouri, Vittorio Bissaro",,Nacra 17,5,G,2,,94,77,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Nikola Girke, Luke Ramsay",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Ida Svensson, Rasmus Rosengren",,Nacra 17,4,G,20,,235,201,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Nicholas Fadler Martinsen, Martine Steller Mortensen",,Nacra 17,17,G,21,,235,201,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Bianca Guardigli, Ferdinando Trambaiolo",,Nacra 17,19,G,28,,301,267,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Fernando Echávarri Erasun, Tara Pacheco van Rijnsoever",,Nacra 17,3,G,1,,111,77,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Blandine Medecin Rodelato, Jean Rodelato",,Nacra 17,28,G,30,,342,308,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Billy Besson, Marie Riou",,Nacra 17,10,G,6,,132,107,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Louisa Chafee, Bora Gulari",,Nacra 17,21,G,15,,191,157,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Lea Spitzmann, Jan Hauke Erichsen",,Nacra 17,23,G,13,,157,131,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Tom Phipps, Nicola Boniface",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Pablo Defazio Abella, Mariana Foglia Costa",,Nacra 17,34,G,17,,225,191,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Nicole van der Velden, Thijs Visser",,Nacra 17,26,G,25,,261,227,Semaine Olympique Francaise De Voile 2016,Race 10,0
,,"Matías Bühler, Nathalie Brugger",,Nacra 17,15,G,14,,159,137,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Francesco Porro, Laura Marimon Giovannetti",,Nacra 17,20,G,19,,232,198,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Marie Tiffon Terrade, Thomas Tiffon-Terrade",,Nacra 17,26,G,29,,325,291,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Jason Saunders, Gemma Jones",,Nacra 17,7,G,11,,155,121,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Bianca Guardigli, Ferdinando Trambaiolo",,Nacra 17,24,G,28,,301,267,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Santiago Raul Lange, Cecilia Carranza Saroli",,Nacra 17,12,G,8,,166,132,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Ida Svensson, Rasmus Rosengren",,Nacra 17,34,G,20,,235,201,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Silvia Sicouri, Vittorio Bissaro",,Nacra 17,5,G,2,,94,77,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Pablo Defazio Abella, Mariana Foglia Costa",,Nacra 17,19,G,17,,225,191,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Blandine Medecin Rodelato, Jean Rodelato",,Nacra 17,27,G,30,,342,308,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Ben Saxton, Nicola Groves",,Nacra 17,3,G,4,,105,87,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Nikola Girke, Luke Ramsay",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Olivia Mackay, Micah Wilkinson",,Nacra 17,21,G,23,,247,213,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Lena Wehrheim, Stefan Rumpf",,Nacra 17,28,G,31,,354,320,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Nicholas Fadler Martinsen, Martine Steller Mortensen",,Nacra 17,22,G,21,,235,201,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Tom Phipps, Nicola Boniface",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Billy Besson, Marie Riou",,Nacra 17,11,G,6,,132,107,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Justin Liu, Denise Lim",,Nacra 17,16,G,22,,246,212,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Louisa Chafee, Bora Gulari",,Nacra 17,6,G,15,,191,157,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Nicole van der Velden, Thijs Visser",,Nacra 17,17,G,25,,261,227,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Carolina Werner, Paul Kohlhoff",,Nacra 17,9,G,18,,227,193,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Mandy Mulder, Coen de Koning",,Nacra 17,8,G,3,,107,87,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Rupert White, Kirstie Urwin",,Nacra 17,23,G,24,,244,216,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Samuel Albrecht, Isabel Swan",,Nacra 17,25,G,9,,170,136,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Jason Waterhouse, Lisa Darmanin",,Nacra 17,2,G,5,,114,93,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Manon Audinet, MOANA VAIREAUX",,Nacra 17,13,G,7,,142,119,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Lea Spitzmann, Jan Hauke Erichsen",,Nacra 17,1,G,13,,157,131,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Michalis Pateniotis, Sofia Bekatorou",,Nacra 17,34,G,27,,274,240,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Thomas Zajac, Tanja Frank",,Nacra 17,10,G,10,,163,140,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Anette Viborg, Allan Norregaard",,Nacra 17,18,G,12,,160,126,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Caterina Banti, Lorenzo Bressani",,Nacra 17,34,G,26,,262,228,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Fernando Echávarri Erasun, Tara Pacheco van Rijnsoever",,Nacra 17,4,G,1,,111,77,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Maria Giubilei, Gianluigi Ugolini",,Nacra 17,14,G,16,,200,166,Semaine Olympique Francaise De Voile 2016,Race 12,0
,,"Jason Waterhouse, Lisa Darmanin",,Nacra 17,1,G,5,,114,93,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Nicholas Fadler Martinsen, Martine Steller Mortensen",,Nacra 17,14,G,21,,235,201,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Anette Viborg, Allan Norregaard",,Nacra 17,7,G,12,,160,126,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Nicole van der Velden, Thijs Visser",,Nacra 17,17,G,25,,261,227,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Ben Saxton, Nicola Groves",,Nacra 17,4,G,4,,105,87,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Santiago Raul Lange, Cecilia Carranza Saroli",,Nacra 17,10,G,8,,166,132,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Thomas Zajac, Tanja Frank",,Nacra 17,22,G,10,,163,140,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Nikola Girke, Luke Ramsay",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Louisa Chafee, Bora Gulari",,Nacra 17,5,G,15,,191,157,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Carolina Werner, Paul Kohlhoff",,Nacra 17,21,G,18,,227,193,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Blandine Medecin Rodelato, Jean Rodelato",,Nacra 17,28,G,30,,342,308,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Billy Besson, Marie Riou",,Nacra 17,19,G,6,,132,107,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Pablo Defazio Abella, Mariana Foglia Costa",,Nacra 17,12,G,17,,225,191,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Olivia Mackay, Micah Wilkinson",,Nacra 17,18,G,23,,247,213,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Caterina Banti, Lorenzo Bressani",,Nacra 17,34,G,26,,262,228,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Ida Svensson, Rasmus Rosengren",,Nacra 17,8,G,20,,235,201,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Matías Bühler, Nathalie Brugger",,Nacra 17,9,G,14,,159,137,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Rupert White, Kirstie Urwin",,Nacra 17,25,G,24,,244,216,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Maria Giubilei, Gianluigi Ugolini",,Nacra 17,6,G,16,,200,166,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Lena Wehrheim, Stefan Rumpf",,Nacra 17,29,G,31,,354,320,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Francesco Porro, Laura Marimon Giovannetti",,Nacra 17,15,G,19,,232,198,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Marie Tiffon Terrade, Thomas Tiffon-Terrade",,Nacra 17,26,G,29,,325,291,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Michalis Pateniotis, Sofia Bekatorou",,Nacra 17,13,G,27,,274,240,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Samuel Albrecht, Isabel Swan",,Nacra 17,11,G,9,,170,136,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Fernando Echávarri Erasun, Tara Pacheco van Rijnsoever",,Nacra 17,20,G,1,,111,77,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Manon Audinet, MOANA VAIREAUX",,Nacra 17,23,G,7,,142,119,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Silvia Sicouri, Vittorio Bissaro",,Nacra 17,3,G,2,,94,77,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Justin Liu, Denise Lim",,Nacra 17,24,G,22,,246,212,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Lea Spitzmann, Jan Hauke Erichsen",,Nacra 17,16,G,13,,157,131,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Tom Phipps, Nicola Boniface",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Mandy Mulder, Coen de Koning",,Nacra 17,2,G,3,,107,87,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Bianca Guardigli, Ferdinando Trambaiolo",,Nacra 17,27,G,28,,301,267,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Jason Saunders, Gemma Jones",,Nacra 17,34,G,11,,155,121,Semaine Olympique Francaise De Voile 2016,Race 09,0
,,"Francesco Porro, Laura Marimon Giovannetti",,Nacra 17,34,G,19,,232,198,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Santiago Raul Lange, Cecilia Carranza Saroli",,Nacra 17,34,G,8,,166,132,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Jason Waterhouse, Lisa Darmanin",,Nacra 17,10,G,5,,114,93,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Manon Audinet, MOANA VAIREAUX",,Nacra 17,1,G,7,,142,119,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Olivia Mackay, Micah Wilkinson",,Nacra 17,34,G,23,,247,213,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Fernando Echávarri Erasun, Tara Pacheco van Rijnsoever",,Nacra 17,2,G,1,,111,77,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Nicholas Fadler Martinsen, Martine Steller Mortensen",,Nacra 17,34,G,21,,235,201,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Michalis Pateniotis, Sofia Bekatorou",,Nacra 17,34,G,27,,274,240,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Anette Viborg, Allan Norregaard",,Nacra 17,34,G,12,,160,126,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Maria Giubilei, Gianluigi Ugolini",,Nacra 17,34,G,16,,200,166,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Thomas Zajac, Tanja Frank",,Nacra 17,11,G,10,,163,140,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Ida Svensson, Rasmus Rosengren",,Nacra 17,14,G,20,,235,201,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Samuel Albrecht, Isabel Swan",,Nacra 17,34,G,9,,170,136,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Billy Besson, Marie Riou",,Nacra 17,8,G,6,,132,107,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Mandy Mulder, Coen de Koning",,Nacra 17,4,G,3,,107,87,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Louisa Chafee, Bora Gulari",,Nacra 17,34,G,15,,191,157,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Matías Bühler, Nathalie Brugger",,Nacra 17,13,G,14,,159,137,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Ben Saxton, Nicola Groves",,Nacra 17,12,G,4,,105,87,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Rupert White, Kirstie Urwin",,Nacra 17,12,G,24,,244,216,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Pablo Defazio Abella, Mariana Foglia Costa",,Nacra 17,34,G,17,,225,191,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Bianca Guardigli, Ferdinando Trambaiolo",,Nacra 17,34,G,28,,301,267,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Justin Liu, Denise Lim",,Nacra 17,34,G,22,,246,212,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Carolina Werner, Paul Kohlhoff",,Nacra 17,34,G,18,,227,193,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Nikola Girke, Luke Ramsay",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Caterina Banti, Lorenzo Bressani",,Nacra 17,34,G,26,,262,228,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Jason Saunders, Gemma Jones",,Nacra 17,3,G,11,,155,121,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Blandine Medecin Rodelato, Jean Rodelato",,Nacra 17,34,G,30,,342,308,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Tom Phipps, Nicola Boniface",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Lea Spitzmann, Jan Hauke Erichsen",,Nacra 17,5,G,13,,157,131,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Nicole van der Velden, Thijs Visser",,Nacra 17,9,G,25,,261,227,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Lena Wehrheim, Stefan Rumpf",,Nacra 17,34,G,31,,354,320,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Marie Tiffon Terrade, Thomas Tiffon-Terrade",,Nacra 17,34,G,29,,325,291,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Silvia Sicouri, Vittorio Bissaro",,Nacra 17,6,G,2,,94,77,Semaine Olympique Francaise De Voile 2016,Race 01,0
,,"Carolina Werner, Paul Kohlhoff",,Nacra 17,14,G,18,,227,193,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Michalis Pateniotis, Sofia Bekatorou",,Nacra 17,24,G,27,,274,240,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Francesco Porro, Laura Marimon Giovannetti",,Nacra 17,16,G,19,,232,198,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Pablo Defazio Abella, Mariana Foglia Costa",,Nacra 17,6,G,17,,225,191,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Marie Tiffon Terrade, Thomas Tiffon-Terrade",,Nacra 17,25,G,29,,325,291,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Tom Phipps, Nicola Boniface",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Bianca Guardigli, Ferdinando Trambaiolo",,Nacra 17,34,G,28,,301,267,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Samuel Albrecht, Isabel Swan",,Nacra 17,15,G,9,,170,136,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Manon Audinet, MOANA VAIREAUX",,Nacra 17,10,G,7,,142,119,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Blandine Medecin Rodelato, Jean Rodelato",,Nacra 17,27,G,30,,342,308,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Rupert White, Kirstie Urwin",,Nacra 17,20,G,24,,244,216,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Justin Liu, Denise Lim",,Nacra 17,8,G,22,,246,212,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Nicholas Fadler Martinsen, Martine Steller Mortensen",,Nacra 17,26,G,21,,235,201,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Matías Bühler, Nathalie Brugger",,Nacra 17,21,G,14,,159,137,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Caterina Banti, Lorenzo Bressani",,Nacra 17,11,G,26,,262,228,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Louisa Chafee, Bora Gulari",,Nacra 17,12,G,15,,191,157,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Jason Saunders, Gemma Jones",,Nacra 17,4,G,11,,155,121,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Silvia Sicouri, Vittorio Bissaro",,Nacra 17,5,G,2,,94,77,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Olivia Mackay, Micah Wilkinson",,Nacra 17,19,G,23,,247,213,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Jason Waterhouse, Lisa Darmanin",,Nacra 17,13,G,5,,114,93,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Ida Svensson, Rasmus Rosengren",,Nacra 17,23,G,20,,235,201,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Maria Giubilei, Gianluigi Ugolini",,Nacra 17,22,G,16,,200,166,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Fernando Echávarri Erasun, Tara Pacheco van Rijnsoever",,Nacra 17,7,G,1,,111,77,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Nicole van der Velden, Thijs Visser",,Nacra 17,34,G,25,,261,227,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Billy Besson, Marie Riou",,Nacra 17,1,G,6,,132,107,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Santiago Raul Lange, Cecilia Carranza Saroli",,Nacra 17,2,G,8,,166,132,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Ben Saxton, Nicola Groves",,Nacra 17,18,G,4,,105,87,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Lena Wehrheim, Stefan Rumpf",,Nacra 17,28,G,31,,354,320,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Anette Viborg, Allan Norregaard",,Nacra 17,34,G,12,,160,126,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Nikola Girke, Luke Ramsay",,Nacra 17,34,G,32,,408,374,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Lea Spitzmann, Jan Hauke Erichsen",,Nacra 17,3,G,13,,157,131,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Mandy Mulder, Coen de Koning",,Nacra 17,9,G,3,,107,87,Semaine Olympique Francaise De Voile 2016,Race 02,0
,,"Thomas Zajac, Tanja Frank",,Nacra 17,17,G,10,,163,140,Semaine Olympique Francaise De Voile 2016,Race 02,0
