Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Silvia ZENNARO,,Ilca 6,16.0,G,29,,251.0,195,World Championship 2023,Race 3 Yellow,0
,,Wiktoria GOLEBIOWSKA,,Ilca 6,41.0,G,40,,310.0,254,World Championship 2023,Race 3 Yellow,0
,,Lucia FALASCA,,Ilca 6,21.0,G,23,,202.0,174,World Championship 2023,Race 3 Yellow,0
,,Estere Paula KUMPINA,,Ilca 6,56.0,G,110,,534.0,478,World Championship 2023,Race 3 Yellow,0
,,Greta PILKINGTON,,Ilca 6,30.0,G,84,,310.0,254,World Championship 2023,Race 3 Yellow,0
,,Luciana CARDOZO,,Ilca 6,12.0,G,46,,342.0,286,World Championship 2023,Race 3 Yellow,0
,,Maria ERDI,,Ilca 6,3.0,G,1,,124.0,75,World Championship 2023,Race 3 Yellow,0
,,Sophia MORGAN,,Ilca 6,45.0,G,93,,369.0,324,World Championship 2023,Race 3 Yellow,1
,,Nelle LEENDERS,,Ilca 6,49.0,G,109,,506.0,451,World Championship 2023,Race 3 Yellow,0
,,YAMAMOTO Yuuri,,Ilca 6,48.0,G,105,,464.0,410,World Championship 2023,Race 3 Yellow,0
,,Anja von ALLMEN,,Ilca 6,34.0,G,30,,248.0,199,World Championship 2023,Race 3 Yellow,0
,,Sophia Gail MONTGOMERY,,Ilca 6,35.0,G,82,,276.0,241,World Championship 2023,Race 3 Yellow,1
,,Maura DEWEY,,Ilca 6,56.0,G,47,,344.0,288,World Championship 2023,Race 3 Yellow,1
,,Martina REINO CACHO,,Ilca 6,56.0,G,61,,198.0,142,World Championship 2023,Race 3 Yellow,0
,,Agustina JORDAN von APPEN,,Ilca 6,38.0,G,98,,419.0,363,World Championship 2023,Race 3 Yellow,0
,,Adriana PENRUDDOCKE,,Ilca 6,6.0,G,76,,267.0,211,World Championship 2023,Race 3 Yellow,0
,,MIURA Honoka,,Ilca 6,37.0,G,95,,406.0,353,World Championship 2023,Race 3 Yellow,0
,,Christina SAKELLARIS,,Ilca 6,14.0,G,27,,248.0,192,World Championship 2023,Race 3 Yellow,0
,,TOMBE Yumiko,,Ilca 6,5.0,G,52,,384.0,330,World Championship 2023,Race 3 Yellow,0
,,Ebru BOLAT,,Ilca 6,17.0,G,43,,327.0,278,World Championship 2023,Race 3 Yellow,0
,,Sylvie STANNAGE,,Ilca 6,23.0,G,50,,359.0,306,World Championship 2023,Race 3 Yellow,0
,,Hallie SCHIFFMAN,,Ilca 6,40.0,G,75,,247.0,207,World Championship 2023,Race 3 Yellow,1
,,Anne-Marie RINDOM,,Ilca 6,8.0,G,3,,105.0,81,World Championship 2023,Race 3 Yellow,0
,,Alenka VALENCIC,,Ilca 6,27.0,G,83,,299.0,251,World Championship 2023,Race 3 Yellow,0
,,Molly SACKER,,Ilca 6,32.0,G,64,,197.0,165,World Championship 2023,Race 3 Yellow,1
,,CHEN Pin-Chieh,,Ilca 6,42.0,G,104,,463.8,410,World Championship 2023,Race 3 Yellow,0
,,Maria Jose PONCELL MAURIN,,Ilca 6,36.0,G,96,,407.0,355,World Championship 2023,Race 3 Yellow,0
,,Coralie VITTECOQ,,Ilca 6,11.0,G,68,,207.0,173,World Championship 2023,Race 3 Yellow,0
,,Matilda NICHOLLS,,Ilca 6,29.0,G,36,,290.0,234,World Championship 2023,Race 3 Yellow,0
,,Hannah SNELLGROVE,,Ilca 6,22.0,G,11,,164.0,123,World Championship 2023,Race 3 Yellow,0
,,ZHANG Dongshuang,,Ilca 6,10.0,G,49,,350.0,298,World Championship 2023,Race 3 Yellow,0
,,Dolores MOREIRA FRASCHINI,,Ilca 6,56.0,G,63,,214.0,158,World Championship 2023,Race 3 Yellow,1
,,Ines GMATI,,Ilca 6,56.0,G,85,,319.0,263,World Championship 2023,Race 3 Yellow,1
,,Lillian MYERS,,Ilca 6,43.0,G,33,,273.0,223,World Championship 2023,Race 3 Yellow,0
,,Mara STRANSKY,,Ilca 6,2.0,G,10,,179.0,139,World Championship 2023,Race 3 Yellow,0
,,Giorgia DELLA VALLE,,Ilca 6,26.0,G,60,,193.0,137,World Championship 2023,Race 3 Yellow,0
,,Elena OETLING RAMIREZ,,Ilca 6,56.0,G,78,,279.0,223,World Championship 2023,Race 3 Yellow,0
,,Mariela NIKOLOVA,,Ilca 6,46.0,G,103,,460.0,406,World Championship 2023,Race 3 Yellow,0
,,Cagla DONERTAS,,Ilca 6,20.0,G,32,,265.0,209,World Championship 2023,Race 3 Yellow,0
,,Cristina CASTELLANOS,,Ilca 6,56.0,G,53,,398.0,342,World Championship 2023,Race 9 Gold,1
,,Charlotte ROSE,,Ilca 6,15.0,G,5,,135.0,96,World Championship 2023,Race 9 Gold,0
,,Maxime JONKER,,Ilca 6,12.0,G,17,,210.0,154,World Championship 2023,Race 9 Gold,0
,,Julia BUSSELBERG,,Ilca 6,1.0,G,13,,168.0,129,World Championship 2023,Race 9 Gold,0
,,Pia KUHLMANN,,Ilca 6,2.0,G,22,,209.0,170,World Championship 2023,Race 9 Gold,0
,,NORTON Stephanie Louise,,Ilca 6,18.0,G,34,,282.0,229,World Championship 2023,Race 9 Gold,0
,,Silvia ZENNARO,,Ilca 6,23.0,G,29,,251.0,195,World Championship 2023,Race 9 Gold,0
,,ZHANG Dongshuang,,Ilca 6,30.0,G,49,,350.0,298,World Championship 2023,Race 9 Gold,0
,,Line FLEM HOEST,,Ilca 6,9.0,G,19,,212.0,156,World Championship 2023,Race 9 Gold,0
,,Casey IMENEO,,Ilca 6,26.0,G,16,,182.0,146,World Championship 2023,Race 9 Gold,0
,,Cristina PUJOL BAJO,,Ilca 6,43.0,G,39,,304.0,248,World Championship 2023,Race 9 Gold,0
,,Nur Shazrin MOHAMAD LATIF,,Ilca 6,25.0,G,45,,341.0,285,World Championship 2023,Race 9 Gold,0
,,Zoe THOMSON,,Ilca 6,42.0,G,35,,274.0,231,World Championship 2023,Race 9 Gold,0
,,Erika REINEKE,,Ilca 6,7.0,G,15,,189.0,133,World Championship 2023,Race 9 Gold,0
,,Ecem GUZEL,,Ilca 6,17.0,G,28,,239.0,193,World Championship 2023,Race 9 Gold,0
,,Carolina ALBANO,,Ilca 6,24.0,G,9,,150.0,126,World Championship 2023,Race 9 Gold,1
,,Ebru BOLAT,,Ilca 6,40.0,G,43,,327.0,278,World Championship 2023,Race 9 Gold,0
,,Monika MIKKOLA,,Ilca 6,35.0,G,25,,239.0,183,World Championship 2023,Race 9 Gold,0
,,Matilda TALLURI,,Ilca 6,47.0,G,42,,326.0,278,World Championship 2023,Race 9 Gold,0
,,Lucia FALASCA,,Ilca 6,28.0,G,23,,202.0,174,World Championship 2023,Race 9 Gold,0
,,Gabriella KIDD,,Ilca 6,56.0,G,55,,427.0,371,World Championship 2023,Race 9 Gold,0
,,TOMBE Yumiko,,Ilca 6,52.0,G,52,,384.0,330,World Championship 2023,Race 9 Gold,0
,,Anja von ALLMEN,,Ilca 6,16.0,G,30,,248.0,199,World Championship 2023,Race 9 Gold,0
,,Anne-Marie RINDOM,,Ilca 6,10.0,G,3,,105.0,81,World Championship 2023,Race 9 Gold,0
,,Mirthe AKKERMAN,,Ilca 6,11.0,G,14,,163.0,133,World Championship 2023,Race 9 Gold,0
,,Marie BARRUE,,Ilca 6,21.0,G,21,,213.0,168,World Championship 2023,Race 9 Gold,0
,,Hannah ANDERSSOHN,,Ilca 6,46.0,G,38,,299.0,246,World Championship 2023,Race 9 Gold,0
,,Wiktoria GOLEBIOWSKA,,Ilca 6,5.0,G,40,,310.0,254,World Championship 2023,Race 9 Gold,0
,,Josefin OLSSON,,Ilca 6,27.0,G,7,,161.0,105,World Championship 2023,Race 9 Gold,0
,,Agata BARWINSKA,,Ilca 6,32.0,G,18,,190.0,155,World Championship 2023,Race 9 Gold,0
,,Maura DEWEY,,Ilca 6,45.0,G,47,,344.0,288,World Championship 2023,Race 9 Gold,0
,,Sylvie STANNAGE,,Ilca 6,50.0,G,50,,359.0,306,World Championship 2023,Race 9 Gold,0
,,Alina SHAPOVALOVA,,Ilca 6,37.0,G,54,,404.0,348,World Championship 2023,Race 9 Gold,0
,,Lillian MYERS,,Ilca 6,22.0,G,33,,273.0,223,World Championship 2023,Race 9 Gold,0
,,Maud JAYET,,Ilca 6,3.0,G,2,,122.0,79,World Championship 2023,Race 9 Gold,0
,,Hannah SNELLGROVE,,Ilca 6,41.0,G,11,,164.0,123,World Championship 2023,Race 9 Gold,1
,,Chiara BENINI FLORIANI,,Ilca 6,39.0,G,20,,215.0,163,World Championship 2023,Race 9 Gold,0
,,Luciana CARDOZO,,Ilca 6,36.0,G,46,,342.0,286,World Championship 2023,Race 9 Gold,0
,,Elyse AINSWORTH,,Ilca 6,33.0,G,31,,248.0,202,World Championship 2023,Race 9 Gold,0
,,Christina SAKELLARIS,,Ilca 6,29.0,G,27,,248.0,192,World Championship 2023,Race 9 Gold,0
,,Vasileia KARACHALIOU,,Ilca 6,56.0,G,8,,170.0,114,World Championship 2023,Race 9 Gold,1
,,Emma PLASSCHAERT,,Ilca 6,31.0,G,6,,129.0,98,World Championship 2023,Race 9 Gold,1
,,Anna MUNCH,,Ilca 6,14.0,G,12,,162.0,125,World Championship 2023,Race 9 Gold,0
,,Maria ERDI,,Ilca 6,49.0,G,1,,124.0,75,World Championship 2023,Race 9 Gold,1
,,Mara STRANSKY,,Ilca 6,4.0,G,10,,179.0,139,World Championship 2023,Race 9 Gold,0
,,Florencia CHIARELLA,,Ilca 6,44.0,G,44,,331.0,280,World Championship 2023,Race 9 Gold,0
,,Hanna KOBA,,Ilca 6,51.0,G,51,,369.0,316,World Championship 2023,Race 9 Gold,0
,,Sandra LULIC,,Ilca 6,38.0,G,41,,313.0,263,World Championship 2023,Race 9 Gold,0
,,Matilda NICHOLLS,,Ilca 6,8.0,G,36,,290.0,234,World Championship 2023,Race 9 Gold,0
,,Sarah DOUGLAS,,Ilca 6,13.0,G,24,,233.0,177,World Championship 2023,Race 9 Gold,0
,,Cagla DONERTAS,,Ilca 6,20.0,G,32,,265.0,209,World Championship 2023,Race 9 Gold,0
,,Marit BOUWMEESTER,,Ilca 6,6.0,G,4,,120.0,84,World Championship 2023,Race 9 Gold,0
,,Shay KAKON,,Ilca 6,19.0,G,37,,284.0,239,World Championship 2023,Race 9 Gold,0
,,Daisy COLLINGRIDGE,,Ilca 6,48.0,G,26,,233.0,185,World Championship 2023,Race 9 Gold,1
,,Laura SCHEWE,,Ilca 6,34.0,G,48,,339.0,288,World Championship 2023,Race 9 Gold,0
,,Alessia PALANTI,,Ilca 6,56.0,G,108,,477.0,421,World Championship 2023,Race 8 Silver,0
,,Hallie SCHIFFMAN,,Ilca 6,17.0,G,75,,247.0,207,World Championship 2023,Race 8 Silver,0
,,Eve McMAHON,,Ilca 6,3.0,G,56,,157.0,101,World Championship 2023,Race 8 Silver,0
,,Marilena MAKRI,,Ilca 6,19.0,G,73,,260.0,204,World Championship 2023,Race 8 Silver,0
,,Evie SAUNDERS,,Ilca 6,1.0,G,62,,179.0,144,World Championship 2023,Race 8 Silver,0
,,Vaimo'Oi'A RIPLEY,,Ilca 6,51.0,G,107,,474.0,421,World Championship 2023,Race 8 Silver,0
,,Charlotte WEBSTER,,Ilca 6,50.0,G,106,,470.0,414,World Championship 2023,Race 8 Silver,0
,,Nelle LEENDERS,,Ilca 6,53.0,G,109,,506.0,451,World Championship 2023,Race 8 Silver,0
,,Ines GMATI,,Ilca 6,44.0,G,85,,319.0,263,World Championship 2023,Race 8 Silver,0
,,Giorgia DELLA VALLE,,Ilca 6,4.0,G,60,,193.0,137,World Championship 2023,Race 8 Silver,0
,,Elena OETLING RAMIREZ,,Ilca 6,28.0,G,78,,279.0,223,World Championship 2023,Race 8 Silver,0
,,Maria Jose PONCELL MAURIN,,Ilca 6,38.0,G,96,,407.0,355,World Championship 2023,Race 8 Silver,0
,,Klara HIMMELOVA,,Ilca 6,32.0,G,90,,345.0,289,World Championship 2023,Race 8 Silver,0
,,Clara GRAVELY,,Ilca 6,5.0,G,72,,252.0,196,World Championship 2023,Race 8 Silver,0
,,Estere Paula KUMPINA,,Ilca 6,56.0,G,110,,534.0,478,World Championship 2023,Race 8 Silver,0
,,GU Min,,Ilca 6,27.0,G,79,,280.0,224,World Championship 2023,Race 8 Silver,0
,,Ursula BALAS,,Ilca 6,43.0,G,88,,330.0,274,World Championship 2023,Race 8 Silver,0
,,Sophia MORGAN,,Ilca 6,36.0,G,93,,369.0,324,World Championship 2023,Race 8 Silver,0
,,Pernelle MICHON,,Ilca 6,7.0,G,65,,222.0,166,World Championship 2023,Race 8 Silver,0
,,Viktorija ANDRULYTE,,Ilca 6,16.0,G,66,,214.0,166,World Championship 2023,Race 8 Silver,0
,,CHEN Pin-Chieh,,Ilca 6,52.0,G,104,,463.8,410,World Championship 2023,Race 8 Silver,0
,,Louise CERVERA,,Ilca 6,6.0,G,58,,186.0,130,World Championship 2023,Race 8 Silver,0
,,Martina REINO CACHO,,Ilca 6,13.0,G,61,,198.0,142,World Championship 2023,Race 8 Silver,0
,,Diana MARKOVA,,Ilca 6,33.0,G,99,,417.0,367,World Championship 2023,Race 8 Silver,0
,,Argyro KOURAVELOU,,Ilca 6,39.0,G,102,,457.0,401,World Championship 2023,Race 8 Silver,0
,,Elena VOROBEVA,,Ilca 6,2.0,G,59,,175.0,136,World Championship 2023,Race 8 Silver,0
,,Lara HIMMES HIMMES,,Ilca 6,25.0,G,89,,330.0,274,World Championship 2023,Race 8 Silver,0
,,Katariina ROIHU,,Ilca 6,35.0,G,81,,278.0,235,World Championship 2023,Race 8 Silver,0
,,Nethra KUMANAN,,Ilca 6,22.0,G,70,,226.0,185,World Championship 2023,Race 8 Silver,0
,,Greta PILKINGTON,,Ilca 6,11.0,G,84,,310.0,254,World Championship 2023,Race 8 Silver,0
,,HIGHFIELD Nancy Jane,,Ilca 6,20.0,G,69,,221.0,176,World Championship 2023,Race 8 Silver,0
,,Romi SAFIN,,Ilca 6,30.0,G,91,,356.0,309,World Championship 2023,Race 8 Silver,0
,,MIURA Honoka,,Ilca 6,41.0,G,95,,406.0,353,World Championship 2023,Race 8 Silver,0
,,Agustina JORDAN von APPEN,,Ilca 6,47.0,G,98,,419.0,363,World Championship 2023,Race 8 Silver,0
,,Coralie VITTECOQ,,Ilca 6,23.0,G,68,,207.0,173,World Championship 2023,Race 8 Silver,0
,,Sophia Gail MONTGOMERY,,Ilca 6,31.0,G,82,,276.0,241,World Championship 2023,Race 8 Silver,0
,,Lin PLETIKOS,,Ilca 6,24.0,G,77,,252.0,212,World Championship 2023,Race 8 Silver,0
,,Mariela NIKOLOVA,,Ilca 6,48.0,G,103,,460.0,406,World Championship 2023,Race 8 Silver,0
,,Sofiia NAUMENKO,,Ilca 6,42.0,G,97,,415.0,359,World Championship 2023,Race 8 Silver,0
,,Evangelia KARAGEORGOU,,Ilca 6,34.0,G,94,,400.0,344,World Championship 2023,Race 8 Silver,0
,,Marissa IJBEN,,Ilca 6,14.0,G,57,,171.0,115,World Championship 2023,Race 8 Silver,0
,,Adriana PENRUDDOCKE,,Ilca 6,18.0,G,76,,267.0,211,World Championship 2023,Race 8 Silver,0
,,Rosine BAUDET,,Ilca 6,26.0,G,80,,274.0,231,World Championship 2023,Race 8 Silver,0
,,Dolores MOREIRA FRASCHINI,,Ilca 6,9.0,G,63,,214.0,158,World Championship 2023,Race 8 Silver,0
,,Alenka VALENCIC,,Ilca 6,15.0,G,83,,299.0,251,World Championship 2023,Race 8 Silver,0
,,Sophie ZIMMERMANN,,Ilca 6,40.0,G,92,,367.0,315,World Championship 2023,Race 8 Silver,0
,,Daniela RIVERA,,Ilca 6,37.0,G,87,,313.0,271,World Championship 2023,Race 8 Silver,0
,,Linda HENSEL,,Ilca 6,29.0,G,86,,310.0,265,World Championship 2023,Race 8 Silver,0
,,YAMAMOTO Yuuri,,Ilca 6,46.0,G,105,,464.0,410,World Championship 2023,Race 8 Silver,0
,,Eline VERSTRAELEN,,Ilca 6,8.0,G,67,,216.0,172,World Championship 2023,Race 8 Silver,0
,,Ana MONCADA SANCHEZ,,Ilca 6,12.0,G,74,,262.0,206,World Championship 2023,Race 8 Silver,0
,,KAKIMOTO Mai,,Ilca 6,45.0,G,101,,439.0,384,World Championship 2023,Race 8 Silver,0
,,Olivia CHRISTIE,,Ilca 6,10.0,G,71,,250.0,195,World Championship 2023,Race 8 Silver,0
,,Deisy NHAQUILE,,Ilca 6,49.0,G,100,,417.0,368,World Championship 2023,Race 8 Silver,0
,,Molly SACKER,,Ilca 6,21.0,G,64,,197.0,165,World Championship 2023,Race 8 Silver,0
,,Coralie VITTECOQ,,Ilca 6,8.0,G,68,,207.0,173,World Championship 2023,Race 5 Silver,0
,,Romi SAFIN,,Ilca 6,36.0,G,91,,356.0,309,World Championship 2023,Race 5 Silver,0
,,Charlotte WEBSTER,,Ilca 6,50.0,G,106,,470.0,414,World Championship 2023,Race 5 Silver,0
,,Elena VOROBEVA,,Ilca 6,9.0,G,59,,175.0,136,World Championship 2023,Race 5 Silver,0
,,HIGHFIELD Nancy Jane,,Ilca 6,13.0,G,69,,221.0,176,World Championship 2023,Race 5 Silver,0
,,Viktorija ANDRULYTE,,Ilca 6,25.0,G,66,,214.0,166,World Championship 2023,Race 5 Silver,0
,,Mariela NIKOLOVA,,Ilca 6,44.0,G,103,,460.0,406,World Championship 2023,Race 5 Silver,0
,,Lin PLETIKOS,,Ilca 6,37.0,G,77,,252.0,212,World Championship 2023,Race 5 Silver,0
,,Marissa IJBEN,,Ilca 6,4.0,G,57,,171.0,115,World Championship 2023,Race 5 Silver,0
,,Alenka VALENCIC,,Ilca 6,15.0,G,83,,299.0,251,World Championship 2023,Race 5 Silver,0
,,Eline VERSTRAELEN,,Ilca 6,30.0,G,67,,216.0,172,World Championship 2023,Race 5 Silver,0
,,Daniela RIVERA,,Ilca 6,18.0,G,87,,313.0,271,World Championship 2023,Race 5 Silver,0
,,Louise CERVERA,,Ilca 6,17.0,G,58,,186.0,130,World Championship 2023,Race 5 Silver,0
,,Sophie ZIMMERMANN,,Ilca 6,23.0,G,92,,367.0,315,World Championship 2023,Race 5 Silver,0
,,Olivia CHRISTIE,,Ilca 6,14.0,G,71,,250.0,195,World Championship 2023,Race 5 Silver,0
,,Clara GRAVELY,,Ilca 6,11.0,G,72,,252.0,196,World Championship 2023,Race 5 Silver,0
,,Greta PILKINGTON,,Ilca 6,22.0,G,84,,310.0,254,World Championship 2023,Race 5 Silver,0
,,Sofiia NAUMENKO,,Ilca 6,33.0,G,97,,415.0,359,World Championship 2023,Race 5 Silver,0
,,Rosine BAUDET,,Ilca 6,29.0,G,80,,274.0,231,World Championship 2023,Race 5 Silver,0
,,Argyro KOURAVELOU,,Ilca 6,41.0,G,102,,457.0,401,World Championship 2023,Race 5 Silver,0
,,Linda HENSEL,,Ilca 6,45.0,G,86,,310.0,265,World Championship 2023,Race 5 Silver,1
,,Sophia MORGAN,,Ilca 6,40.0,G,93,,369.0,324,World Championship 2023,Race 5 Silver,0
,,Hallie SCHIFFMAN,,Ilca 6,19.0,G,75,,247.0,207,World Championship 2023,Race 5 Silver,0
,,Pernelle MICHON,,Ilca 6,3.0,G,65,,222.0,166,World Championship 2023,Race 5 Silver,0
,,Adriana PENRUDDOCKE,,Ilca 6,32.0,G,76,,267.0,211,World Championship 2023,Race 5 Silver,0
,,Katariina ROIHU,,Ilca 6,27.0,G,81,,278.0,235,World Championship 2023,Race 5 Silver,0
,,Diana MARKOVA,,Ilca 6,42.0,G,99,,417.0,367,World Championship 2023,Race 5 Silver,0
,,Vaimo'Oi'A RIPLEY,,Ilca 6,53.0,G,107,,474.0,421,World Championship 2023,Race 5 Silver,1
,,Nelle LEENDERS,,Ilca 6,54.0,G,109,,506.0,451,World Championship 2023,Race 5 Silver,0
,,Klara HIMMELOVA,,Ilca 6,24.0,G,90,,345.0,289,World Championship 2023,Race 5 Silver,0
,,MIURA Honoka,,Ilca 6,47.0,G,95,,406.0,353,World Championship 2023,Race 5 Silver,0
,,Giorgia DELLA VALLE,,Ilca 6,6.0,G,60,,193.0,137,World Championship 2023,Race 5 Silver,0
,,GU Min,,Ilca 6,7.0,G,79,,280.0,224,World Championship 2023,Race 5 Silver,0
,,Agustina JORDAN von APPEN,,Ilca 6,38.0,G,98,,419.0,363,World Championship 2023,Race 5 Silver,0
,,Dolores MOREIRA FRASCHINI,,Ilca 6,10.0,G,63,,214.0,158,World Championship 2023,Race 5 Silver,0
,,Estere Paula KUMPINA,,Ilca 6,56.0,G,110,,534.0,478,World Championship 2023,Race 5 Silver,0
,,Ursula BALAS,,Ilca 6,35.0,G,88,,330.0,274,World Championship 2023,Race 5 Silver,0
,,Molly SACKER,,Ilca 6,2.0,G,64,,197.0,165,World Championship 2023,Race 5 Silver,0
,,Sophia Gail MONTGOMERY,,Ilca 6,28.0,G,82,,276.0,241,World Championship 2023,Race 5 Silver,0
,,CHEN Pin-Chieh,,Ilca 6,53.8,G,104,,463.8,410,World Championship 2023,Race 5 Silver,1
,,Deisy NHAQUILE,,Ilca 6,46.0,G,100,,417.0,368,World Championship 2023,Race 5 Silver,0
,,Evie SAUNDERS,,Ilca 6,26.0,G,62,,179.0,144,World Championship 2023,Race 5 Silver,0
,,Marilena MAKRI,,Ilca 6,12.0,G,73,,260.0,204,World Championship 2023,Race 5 Silver,0
,,Evangelia KARAGEORGOU,,Ilca 6,39.0,G,94,,400.0,344,World Championship 2023,Race 5 Silver,0
,,KAKIMOTO Mai,,Ilca 6,31.0,G,101,,439.0,384,World Championship 2023,Race 5 Silver,0
,,Elena OETLING RAMIREZ,,Ilca 6,20.0,G,78,,279.0,223,World Championship 2023,Race 5 Silver,0
,,Alessia PALANTI,,Ilca 6,43.0,G,108,,477.0,421,World Championship 2023,Race 5 Silver,0
,,Ana MONCADA SANCHEZ,,Ilca 6,34.0,G,74,,262.0,206,World Championship 2023,Race 5 Silver,0
,,Ines GMATI,,Ilca 6,48.0,G,85,,319.0,263,World Championship 2023,Race 5 Silver,0
,,YAMAMOTO Yuuri,,Ilca 6,49.0,G,105,,464.0,410,World Championship 2023,Race 5 Silver,0
,,Maria Jose PONCELL MAURIN,,Ilca 6,52.0,G,96,,407.0,355,World Championship 2023,Race 5 Silver,1
,,Martina REINO CACHO,,Ilca 6,5.0,G,61,,198.0,142,World Championship 2023,Race 5 Silver,0
,,Lara HIMMES HIMMES,,Ilca 6,16.0,G,89,,330.0,274,World Championship 2023,Race 5 Silver,0
,,Eve McMAHON,,Ilca 6,1.0,G,56,,157.0,101,World Championship 2023,Race 5 Silver,0
,,Nethra KUMANAN,,Ilca 6,21.0,G,70,,226.0,185,World Championship 2023,Race 5 Silver,0
,,HIGHFIELD Nancy Jane,,Ilca 6,29.0,G,69,,221.0,176,World Championship 2023,Race 3 Blue,0
,,Deisy NHAQUILE,,Ilca 6,42.0,G,100,,417.0,368,World Championship 2023,Race 3 Blue,0
,,Argyro KOURAVELOU,,Ilca 6,53.0,G,102,,457.0,401,World Championship 2023,Race 3 Blue,0
,,Mirthe AKKERMAN,,Ilca 6,23.0,G,14,,163.0,133,World Championship 2023,Race 3 Blue,0
,,Monika MIKKOLA,,Ilca 6,26.0,G,25,,239.0,183,World Championship 2023,Race 3 Blue,0
,,Olivia CHRISTIE,,Ilca 6,17.0,G,71,,250.0,195,World Championship 2023,Race 3 Blue,0
,,Elyse AINSWORTH,,Ilca 6,46.0,G,31,,248.0,202,World Championship 2023,Race 3 Blue,1
,,Laura SCHEWE,,Ilca 6,37.0,G,48,,339.0,288,World Championship 2023,Race 3 Blue,0
,,Daisy COLLINGRIDGE,,Ilca 6,36.0,G,26,,233.0,185,World Championship 2023,Race 3 Blue,0
,,Hannah ANDERSSOHN,,Ilca 6,15.0,G,38,,299.0,246,World Championship 2023,Race 3 Blue,0
,,Matilda TALLURI,,Ilca 6,38.0,G,42,,326.0,278,World Championship 2023,Race 3 Blue,0
,,Charlotte WEBSTER,,Ilca 6,54.0,G,106,,470.0,414,World Championship 2023,Race 3 Blue,0
,,Sarah DOUGLAS,,Ilca 6,35.0,G,24,,233.0,177,World Championship 2023,Race 3 Blue,0
,,Charlotte ROSE,,Ilca 6,39.0,G,5,,135.0,96,World Championship 2023,Race 3 Blue,1
,,Shay KAKON,,Ilca 6,45.0,G,37,,284.0,239,World Championship 2023,Race 3 Blue,1
,,Rosine BAUDET,,Ilca 6,32.0,G,80,,274.0,231,World Championship 2023,Race 3 Blue,0
,,Elena VOROBEVA,,Ilca 6,34.0,G,59,,175.0,136,World Championship 2023,Race 3 Blue,0
,,Sandra LULIC,,Ilca 6,14.0,G,41,,313.0,263,World Championship 2023,Race 3 Blue,0
,,Sophie ZIMMERMANN,,Ilca 6,40.0,G,92,,367.0,315,World Championship 2023,Race 3 Blue,0
,,Diana MARKOVA,,Ilca 6,41.0,G,99,,417.0,367,World Championship 2023,Race 3 Blue,0
,,Ecem GUZEL,,Ilca 6,3.0,G,28,,239.0,193,World Championship 2023,Race 3 Blue,0
,,Daniela RIVERA,,Ilca 6,31.0,G,87,,313.0,271,World Championship 2023,Race 3 Blue,0
,,Line FLEM HOEST,,Ilca 6,13.0,G,19,,212.0,156,World Championship 2023,Race 3 Blue,0
,,Maud JAYET,,Ilca 6,43.0,G,2,,122.0,79,World Championship 2023,Race 3 Blue,1
,,Vasileia KARACHALIOU,,Ilca 6,25.0,G,8,,170.0,114,World Championship 2023,Race 3 Blue,0
,,Zoe THOMSON,,Ilca 6,18.0,G,35,,274.0,231,World Championship 2023,Race 3 Blue,0
,,Pia KUHLMANN,,Ilca 6,19.0,G,22,,209.0,170,World Championship 2023,Race 3 Blue,0
,,Evie SAUNDERS,,Ilca 6,5.0,G,62,,179.0,144,World Championship 2023,Race 3 Blue,0
,,Ursula BALAS,,Ilca 6,24.0,G,88,,330.0,274,World Championship 2023,Race 3 Blue,0
,,Nethra KUMANAN,,Ilca 6,11.0,G,70,,226.0,185,World Championship 2023,Race 3 Blue,0
,,Louise CERVERA,,Ilca 6,12.0,G,58,,186.0,130,World Championship 2023,Race 3 Blue,0
,,Eve McMAHON,,Ilca 6,47.0,G,56,,157.0,101,World Championship 2023,Race 3 Blue,0
,,Carolina ALBANO,,Ilca 6,4.0,G,9,,150.0,126,World Championship 2023,Race 3 Blue,0
,,Hanna KOBA,,Ilca 6,16.0,G,51,,369.0,316,World Championship 2023,Race 3 Blue,0
,,Alessia PALANTI,,Ilca 6,50.0,G,108,,477.0,421,World Championship 2023,Race 3 Blue,0
,,Cristina CASTELLANOS,,Ilca 6,6.0,G,53,,398.0,342,World Championship 2023,Race 3 Blue,0
,,Viktorija ANDRULYTE,,Ilca 6,48.0,G,66,,214.0,166,World Championship 2023,Race 3 Blue,1
,,Cristina PUJOL BAJO,,Ilca 6,56.0,G,39,,304.0,248,World Championship 2023,Race 3 Blue,1
,,Alina SHAPOVALOVA,,Ilca 6,21.0,G,54,,404.0,348,World Championship 2023,Race 3 Blue,0
,,Emma PLASSCHAERT,,Ilca 6,30.0,G,6,,129.0,98,World Championship 2023,Race 3 Blue,0
,,Klara HIMMELOVA,,Ilca 6,20.0,G,90,,345.0,289,World Championship 2023,Race 3 Blue,0
,,Pernelle MICHON,,Ilca 6,49.0,G,65,,222.0,166,World Championship 2023,Race 3 Blue,0
,,Linda HENSEL,,Ilca 6,44.0,G,86,,310.0,265,World Championship 2023,Race 3 Blue,0
,,NORTON Stephanie Louise,,Ilca 6,10.0,G,34,,282.0,229,World Championship 2023,Race 3 Blue,0
